,,,,,,,
Sr. No.,PS Number,Organization,Problem Statement Title,description,Category,Submitted Idea Count(s),Theme
100,SIH26100,Ministry of Petroleum & Natural Gas,AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement,Develop an automated bid compliance evaluator that parses tender documents on the GeM portal against vendor submissions to verify technical conformity.,Software,0/500,Smart Automation
101,SIH26101,MoSPI,"Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System.",Build an AI training platform integrated with iGOT Karmayogi that diagnoses statistical knowledge gaps and auto-generates customized quizzes and MCQs.,Software,0/500,Smart Education
102,SIH26102,MoSPI,"Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.","Create an anomaly and fraud detection system auditing MPLAD scheme fund allocation, vendor invoicing, and physical asset completion photos.",Software,0/500,Smart Automation
103,SIH26103,MoSPI,Use case on web-based integrated project-monitoring platform,"Implement an interactive project management dashboard providing multi-departmental visibility into infrastructure milestones, expenditures, and delays.",Software,0/500,Smart Automation
104,SIH26104,All India Council for Technical Education (AICTE),AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks,Develop an acoustic deepfake detector that analyzes synthetic artifacts and spectral cues in real time to prevent voice cloning phone fraud.,Software,0/500,Blockchain & Cybersecurity
105,SIH26105,All India Council for Technical Education (AICTE),AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform,Build a continuous cyber risk quantification dashboard that translates technical security vulnerabilities into monetary loss projections and budget advice.,Software,0/500,Blockchain & Cybersecurity
106,SIH26106,All India Council for Technical Education (AICTE),"AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform","Create an intelligent threat intelligence platform that traces malicious email origin headers, detects phishing domains, and automates forensic analysis.",Software,0/500,Blockchain & Cybersecurity
107,SIH26107,"Ministry of Consumer Affairs, Food & Public Distribution",Al-powered Intelligent Assistant for Indian Standards and BIS Services for Industries and Consumers,"Develop an AI-driven search and conversational assistant that answers industry queries regarding BIS certifications, Indian Standards, and hallmarking.",Software,0/500,Smart Automation
108,SIH26108,"Ministry of Consumer Affairs, Food & Public Distribution",AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specifications,Build a semantic procurement assistant that reads technical tender specs and recommends matching Bureau of Indian Standards (BIS) product codes.,Software,0/500,Smart Automation
109,SIH26109,"Ministry of Fisheries, Animal Husbandry & Dairying",Al-Based Predictive Modelling for Early Forecasting of Bovine Mastitis in lndian Dairy Farms,Engineer an IoT thermal and milk-conductivity sensor system that uses predictive modeling to identify early clinical signs of bovine mastitis in dairy cattle.,Hardware,0/500,"Agriculture, FoodTech & Rural Development"
110,SIH26110,"Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Low-Cost Light-weight Milk Chilling Can for Small-Scale Dairy Farmers,"Design a lightweight, thermally insulated phase-change material (PCM) milk chilling container to maintain raw milk quality during smallholder transit.",Hardware,0/500,"Agriculture, FoodTech & Rural Development"
111,SIH26111,"Ministry of Fisheries, Animal Husbandry & Dairying",Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers,"Develop a portable optical spectroscopy scanner paired with a mobile app to instantly estimate nutritional value, moisture, and toxins in cattle silage.",Software,0/500,"Agriculture, FoodTech & Rural Development"
112,SIH26112,Autodesk,Design and Develop a Modular Autonomous Mobile Robot (AMR) Platform for Smart Warehouse Automation,"Design a modular autonomous mobile robot platform featuring interchangeable top modules, LiDAR SLAM, and smart docking for warehouse logistics.",Hardware,0/500,Robotics and Drones
113,SIH26113,Autodesk,"Human augmentation technologies are transforming healthcare,rehabilitation, industrial ergonomics, assistive living, sports, and personal mobility by improving human capabilities and enhancing quality of life.",Develop a motorized wearable robotic exoskeleton to support mobility rehabilitation and reduce physical strain for industrial and healthcare workers.,Hardware,0/500,MedTech / BioTech / HealthTech
114,SIH26114,Autodesk,Smart City Site Planning using Autodesk Forma Site Design,"Create a 3D computational urban planning tool using Autodesk Forma APIs to simulate microclimate, sun exposure, wind flow, and noise in city design.",Software,0/500,Miscellaneous
115,SIH26115,Autodesk,Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System,"Build an autonomous, sensor-equipped mobile cart that safely collects, sorts, and tracks hazardous biomedical waste within hospital facilities.",Software,0/500,MedTech / BioTech / HealthTech
116,SIH26116,Autodesk,"Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units).",Design an architectural Building Information Model (BIM) in Revit for a B+G+9 mixed-use commercial and residential tower featuring EV charging.,Software,0/500,Miscellaneous
117,SIH26117,Mangalore Refinery and Petrochemicals Limited (MRPL),Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work,"Deploy an on-premise, air-gapped agentic AI workbench utilizing open-source LLMs for automated technical report drafting and confidential refinery analysis.",Software,0/500,Smart Automation
118,SIH26118,Mangalore Refinery and Petrochemicals Limited (MRPL),Passive Colorimetric H2S Exposure-Dosimeter Wristband with AI-Based Quantitative Reading,Develop a passive colorimetric wearable wristband with smartphone optical scanning to monitor cumulative toxic H2S gas exposure among plant workers.,Hardware,0/500,Smart Automation
119,SIH26119,Mangalore Refinery and Petrochemicals Limited (MRPL),Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Express / CEPLEX),Build a high-performance GPU-accelerated mixed-integer linear programming (MILP) solver to optimize heavy refining operations and logistics independently.,Software,0/500,Smart Automation
120,SIH26120,Oil India Limited,Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.,Construct a physics-informed digital twin to simulate and optimize cyclic steam stimulation and sucker rod pump lift in heavy oil reservoir wells.,Software,0/500,Smart Automation
121,SIH26121,Oil India Limited,eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations,Build a geological offset well intelligence platform that analyzes historical drilling logs to recommend drilling parameters and avoid formation hazards.,Software,0/500,Smart Automation
122,SIH26122,Oil India Limited,Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge),Develop an automated progress tracking system linking drone site photos and IoT sensor telemetry directly into Primavera/MSP construction schedules.,Software,0/500,Smart Automation
123,SIH26123,Bharat Electronics Limited,Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots (AMRs) in Smart Warehouses,Formulate a decentralized edge-AI fleet coordination protocol enabling multi-robot path deconfliction and collaborative payload hauling in warehouses.,Software,0/500,Smart Automation
124,SIH26124,Bharat Electronics Limited,AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet,"Deploy an IoT camera and environmental sensing mesh onto public buses to continuously gather real-time road conditions, potholes, and air pollution data.",Software,0/500,Smart Automation
125,SIH26125,Bharat Electronics Limited,"Blockchain-Based Secure Platform for Identity,Access Control, and Digital Asset Management",Build a decentralized identity and access management system using blockchain to securely manage enterprise credentials and digital assets.,Software,0/500,Blockchain & Cybersecurity
126,SIH26126,Bharat Electronics Limited,Vision Based Autonomous Navigation for Unmanned Ground Vehicle for Outdoor environment,Develop an outdoor visual SLAM and terrain traversability perception stack for unmanned ground vehicles operating across rough off-road terrain.,Software,0/500,Smart Automation
127,SIH26127,Bharat Electronics Limited,City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics,Implement a distributed computer vision system that correlates multi-camera ANPR feeds to reconstruct vehicle trajectories and monitor traffic bottlenecks.,Software,0/500,Smart Automation
128,SIH26128,Government Of Maharashtra,"Efficient systems for early detection,prevention,and management of livestock diseases and animal health issues","Build a disease surveillance platform with predictive epidemiology models to monitor livestock outbreaks, vaccination schedules, and herd health.",Software,0/500,MedTech / BioTech / HealthTech
129,SIH26129,Government Of Maharashtra,"System integration and interoperability among government digital platforms,resulting in fragmented service delivery",Create a unified API gateway and data exchange layer to break department silos and streamline citizen service delivery across government portals.,Software,0/500,Miscellaneous
130,SIH26130,Government Of Maharashtra,"Efficiency in streamlining industrial approvals,compliance processes,and access to government support services",Develop a single-window digital clearance and compliance tracking portal to accelerate statutory industrial licensing and state support schemes.,Software,0/500,Miscellaneous
131,SIH26131,Government Of Maharashtra,Early detection and management of crop diseases and pest infestations,Build a computer vision mobile diagnostic app that detects crop pathologies and insect infestations from leaf photos and prescribes treatments.,Software,0/500,"Agriculture, FoodTech & Rural Development"
132,SIH26132,Government Of Maharashtra,Strengthening market linkages and price discovery for farmers,"Create a real-time agricultural marketplace platform providing farmers with transparent mandi price discovery, logistics booking, and buyer matching.",Software,0/500,"Agriculture, FoodTech & Rural Development"
133,SIH26133,Government Of Maharashtra,"Accessibility and quality of public healthcare services,particularly in rural and underserved areas","Develop a rural telemedicine and clinic workflow system facilitating remote tele-consultations, diagnostic booking, and medicine availability tracking.",Software,0/500,MedTech / BioTech / HealthTech
134,SIH26134,Government Of Maharashtra,Challenges in aligning skill development programs with industry requirements and emerging job market demands,Implement an AI-driven labor market analytics engine that scans employment trends to align vocational skilling programs with emerging job markets.,Software,0/500,Miscellaneous
135,SIH26135,Government Of Maharashtra,"Difficulties in tracking employment outcomes,skill gaps, and the impact of skilling initiatives","Build a longitudinal tracking portal to monitor career outcomes, wage progression, and employer feedback for graduates of state skilling initiatives.",Software,0/500,Miscellaneous
136,SIH26136,Government Of Maharashtra,"Startup friendly public procurement mechanism that enables government departments to identify,pilot, procure,and scale innovative solutions from eligible startups",Design a streamlined sandbox and fast-track public procurement framework enabling government bodies to pilot and procure startup innovations.,Software,0/500,Miscellaneous
137,SIH26137,Egreen Quanta,Quantum-Inspired Intelligent Traffic Route Optimization in Transportation Systems Using Metaheuristic Optimization,Formulate a quantum-inspired metaheuristic algorithm to solve large-scale vehicle routing and traffic congestion problems in urban transit networks.,Software,0/500,Transportation & Logistics
138,SIH26138,Egreen Quanta,Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization,Develop a quantum-inspired predictive model to estimate fleet fuel consumption and suggest route profiles that minimize greenhouse gas emissions.,Software,0/500,Clean & Green Technology
139,SIH26139,Egreen Quanta,Hybrid Quantum Machine Learning Platform for Early Disease Detection,Build a hybrid quantum-classical machine learning pipeline to process high-dimensional genomic and clinical biomarkers for early pathology detection.,Software,0/500,MedTech / BioTech / HealthTech
140,SIH26140,Egreen Quanta,AI-Based Interactive Quantum Algorithm Learning Platform,Create an interactive educational simulator featuring circuit visualizers and gamified modules to teach core quantum computing algorithms.,Software,0/500,Smart Education
141,SIH26141,Egreen Quanta,Quantum-Inspired Cyber Threat Detection for Digital Signature Security,Implement quantum-inspired pattern recognition algorithms to identify cryptographic forgery and advanced evasion threats in digital signature workflows.,Software,0/500,Blockchain & Cybersecurity
142,SIH26142,National Technical Research Organisation (NTRO),Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries,Develop a deep learning super-resolution framework to reconstruct sub-meter high-fidelity spatial details from medium-resolution satellite imagery.,Software,0/500,Space Technology
143,SIH26143,National Technical Research Organisation (NTRO),Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.,Build an automated maritime surveillance pipeline that fuses satellite SAR imagery with transponder AIS trajectories to detect and attribute offshore oil spills.,Software,0/500,Disaster Management
144,SIH26144,National Technical Research Organisation (NTRO),Design & Development of a High-Sensitivity Micro barometer Infrasound sensor,Design a micro-machined high-sensitivity infrasound barometer capable of detecting low-frequency atmospheric acoustic signatures from distant geophysical events.,Hardware,0/500,Smart Automation
145,SIH26145,National Technical Research Organisation (NTRO),AI-Based Detection of Cyber Threats in Unidirectional IP Traffic,Develop an anomaly detection model tailored for unidirectional data diodes to identify covert malicious payloads in outbound or inbound telemetry.,Software,0/500,Blockchain & Cybersecurity
146,SIH26146,National Technical Research Organisation (NTRO),AI-Powered Monitoring & Analysis of Bitcoin Transaction Traffic,"Implement an automated transaction monitoring graph engine to trace illicit Bitcoin flows, identify coin-join mixing clusters, and flag suspicious wallets.",Software,0/500,Blockchain & Cybersecurity
147,SIH26147,National Technical Research Organisation (NTRO),Automated model for analysis of .IQ and .wav files along with signal parameter extraction,"Build an automated digital signal processing pipeline to ingest raw .IQ and .wav radio recordings, classify modulation types, and extract RF parameters.",Software,0/500,Space Technology
148,SIH26148,National Technical Research Organisation (NTRO),Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions,Create lightweight forensic analysis automation scripts in modern memory-safe languages to collect volatile system evidence without triggering security sensors.,Software,0/500,Blockchain & Cybersecurity
149,SIH26149,National Technical Research Organisation (NTRO),Design and Development of an Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics and Data Sanitization,Develop an integrated software suite providing DoD-standard cryptographic disk sanitization alongside deep carve-recovery tools for forensic investigations.,Software,0/500,Blockchain & Cybersecurity
150,SIH26150,National Technical Research Organisation (NTRO),"Development of a Multi-Vendor DVR/NVR Forensic Analysis Tool for Standardized Acquisition, Recovery, and Analysis of Surveillance Evidence.",Build a universal digital forensics tool capable of parsing proprietary file systems and recovering unindexed video footage from diverse DVR and NVR models.,Software,0/500,Blockchain & Cybersecurity
151,SIH26151,National Technical Research Organisation (NTRO),Dark web threat actor de-anonymization,"Create an intelligence gathering and entity correlation engine that analyzes dark web forum handles, PGP keys, and linguistic styles to de-anonymize threat actors.",Software,0/500,Blockchain & Cybersecurity
152,SIH26152,National Technical Research Organisation (NTRO),Social Media Analytics,"Develop a social media monitoring and influence campaign detection dashboard tracking narrative manipulation, botnets, and viral disinformation.",Software,0/500,Blockchain & Cybersecurity
153,SIH26153,National Technical Research Organisation (NTRO),AI based Network Attack Forecasting from Network Traffic Data,Build a predictive graph neural network that analyzes real-time network traffic patterns to forecast multi-stage cyber attack progressions before breach completion.,Software,0/500,Blockchain & Cybersecurity
154,SIH26154,National Technical Research Organisation (NTRO),Gen AI Platform for Automated Content Transformation,"Implement an enterprise generative AI platform that securely translates, summarizes, and reformats sensitive technical documentation across intelligence formats.",Software,0/500,Blockchain & Cybersecurity
155,SIH26155,National Technical Research Organisation (NTRO),AI-Driven Multi-Vendor Network Security Compliance Auditor,Develop an automated network configuration compliance auditor that evaluates multi-vendor routers and firewalls against CIS benchmarks and national standards.,Software,0/500,Blockchain & Cybersecurity
156,SIH26156,National Technical Research Organisation (NTRO),Universal Log Pre-processing Framework,"Create a high-throughput universal log ingestion and parsing framework that normalizes disparate server, network, and endpoint logs into standardized schemas.",Software,0/500,Blockchain & Cybersecurity
157,SIH26157,National Technical Research Organisation (NTRO),Supervisory Analytics Tool for SOC Assessment (SAT-SA),"Build an analytical supervisory platform to monitor Security Operations Center (SOC) efficiency, measuring alert triage velocity, analyst fatigue, and SLA compliance.",Software,0/500,Blockchain & Cybersecurity
158,SIH26158,National Technical Research Organisation (NTRO),Single-Pass Drone Video to Accurate 3D Model Generation System,Develop a photogrammetry and neural radiance field (NeRF) pipeline that generates dense 3D terrain and structure meshes from single-pass drone video feeds.,Software,0/500,Robotics and Drones
159,SIH26159,National Technical Research Organisation (NTRO),SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Secure Email Communications,"Create an AI-driven security auditing tool that verifies SPF, DKIM, DMARC, and TLS cipher suites to assess organizational email cryptographic resilience.",Software,0/500,Blockchain & Cybersecurity
160,SIH26160,National Technical Research Organisation (NTRO),AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework,"Build an IPsec VPN protocol testing framework that inspects handshake negotiations, flags weak key exchanges, and uncovers misconfigurations.",Software,0/500,Blockchain & Cybersecurity
161,SIH26161,National Technical Research Organisation (NTRO),Dam Break Inundation Modelling Using Hydrodynamic Modelling of any River,"Develop a 2D hydrodynamic flood simulation model to project downstream inundation depth, arrival times, and velocity profiles during hypothetical dam-break events.",Software,0/500,Disaster Management
162,SIH26162,National Technical Research Organisation (NTRO),"AI-Based Detection and Classification of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS, OSM & Satellite Data",Implement an automated thermal hotspot classification model fusing NASA FIRMS satellite data with OpenStreetMap to distinguish industrial flares from wildfires.,Software,0/500,Disaster Management
163,SIH26163,National Technical Research Organisation (NTRO),Security Assessment of the World Monitor application,Perform an automated vulnerability assessment and source code penetration testing framework for open-source situational awareness and monitoring tools.,Software,0/500,Smart Automation
164,SIH26164,National Technical Research Organisation (NTRO),Enterprise Cryptographic Discovery & Analysis Tool (ECDAT),"Build an enterprise-wide discovery tool that scans binary code, source repositories, and keystores to inventory and evaluate deployed cryptographic algorithms.",Software,0/500,Blockchain & Cybersecurity
165,SIH26165,Oil India Limited,AI/NLP Engine to Detect Serious Injury & Fatality (SIF) Precursors in OIL's Unsafe-Act/Unsafe-Condition and Near-Miss Reports,Develop an NLP engine trained on industrial safety logs to identify hidden Serious Injury and Fatality (SIF) precursors in near-miss and incident reports.,Software,0/500,Smart Automation
166,SIH26166,Indian Space Research Organisation(ISRO),"Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)",Formulate a multi-modal feature matching algorithm robust against extreme illumination variations and sun angles across Chandrayaan-2 lunar orbiter cameras.,Software,0/500,Space Technology
167,SIH26167,Indian Space Research Organisation(ISRO),SatQuery AI - An Interactive Vision-Language Assistant for Multimodal Remote Sensing Image Analysis through Text Queries,"Build SatQuery AI, an interactive vision-language assistant allowing analysts to query and extract insights from multi-spectral remote sensing imagery via plain text.",Software,0/500,Space Technology
168,SIH26168,Indian Space Research Organisation(ISRO),AI-ML based Intelligent Dead Reckoning system for seamless navigation,"Implement an AI-driven dead reckoning navigation algorithm fusing IMU, odometer, and visual cues for continuous precision localization in GPS-denied environments.",Software,0/500,Smart Vehicles
169,SIH26169,Indian Space Research Organisation(ISRO),Development of an AI-Based Virtual Camera Tracking System for Coarse Alignment of Mobile Free Space Optical Communication (FSOC) Terminals,Develop a computer-vision tracking system that uses wide-angle auxiliary cameras to calculate coarse spatial alignment for mobile Free Space Optical terminals.,Software,0/500,Smart Automation
170,SIH26170,Indian Space Research Organisation(ISRO),AI-Driven Anomaly Detection in Component Burn-In & Screening,Build an AI-driven anomaly detection model analyzing thermal and electrical test curves to catch latent defects during satellite electronic component burn-in.,Software,0/500,Smart Automation
171,SIH26171,Indian Space Research Organisation(ISRO),On-device Visual Perception for Light-weight Browser Agents,"Create a compact on-device vision model that enables lightweight web browser agents to interpret DOM layout, buttons, and visual UI structures locally.",Software,0/500,Smart Automation
172,SIH26172,Indian Space Research Organisation(ISRO),Low Latency and Efficient Voice Activator for Edge Devices,Design an ultra-low-power embedded hardware voice activation module with microsecond wake latency for resource-constrained aerospace edge devices.,Hardware,0/500,Smart Automation
173,SIH26173,Indian Space Research Organisation(ISRO),iTantra -Indian Multilingual TTS & STT Aided Neural Transceiver Radio Access for low bitrate links,Develop a lightweight neural vocoder and speech transceiver system (iTantra) supporting Indian languages over low-bitrate tactical radio frequencies.,Software,0/500,Smart Automation
174,SIH26174,Indian Space Research Organisation(ISRO),AI Human Activity Recognition for On-board BAS Experiments,Implement a computer-vision human activity recognition pipeline to monitor and evaluate astronaut microgravity experiment protocols on space stations.,Software,0/500,Space Technology
175,SIH26175,Indian Space Research Organisation(ISRO),DepthWizard - Single-View Height Estimation and 3D Flythrough,"Build DepthWizard, a monocular depth estimation tool that generates 3D elevation terrains and interactive simulated flythroughs from single satellite images.",Software,0/500,Disaster Management
176,SIH26176,Indian Space Research Organisation(ISRO),ORCA Marine EcOsystem Reasoning with Collaborative Agents,"Create ORCA, a multi-agent reasoning framework that integrates oceanographic satellite data, marine buoys, and climate models to assess marine ecosystem health.",Software,0/500,Disaster Management
177,SIH26177,Qualcomm Inc,"A deployable AI-powered autonomous drone that aids search-and-rescue operations by detecting people and hazards, thereby improving responder safety and reducing victim discovery time.",Design an autonomous drone payload featuring onboard edge-AI computer vision to detect human survivors and thermal hazards during rapid disaster response missions.,Hardware,0/500,Robotics and Drones
178,SIH26178,Qualcomm Inc,"A resilient, AI-powered environmental monitoring network that provides early detection, localized intelligence, and actionable alerts for floods, forest fires, pollution events, and other environmental hazards common in India, enabling authorities and communities to shift from reactive disaster response to proactive risk prevention.","Build a mesh-connected IoT environmental sensor network equipped with edge analytics for hyper-local early warning of flash floods, fires, and pollution spikes.",Hardware,0/500,Disaster Management
179,SIH26179,Qualcomm Inc,"To build an AI-powered retail intelligence platform that delivers real-time shopper analytics, automated inventory visibility, and proactive queue management through on-device AI,enabling retailers to reduce stock-outs, improve customer experience, optimize staffing, and increase operational efficiency while maintaining privacy and minimizing cloud dependency.","Develop an on-device retail edge analytics camera system that tracks shelf stock levels, customer footfall density, and checkout queue wait times privately.",Hardware,0/500,Miscellaneous
180,SIH26180,Qualcomm Inc,"A field-deployable AI-powered Smart Farming Assistant that helps farmers detect crop diseases, pests, nutrient deficiencies, and irrigation needs at an early stage, while improving resilience against droughts, floods, heat waves, and other agricultural risks common in India. The solution should enable higher yields, lower input costs, more efficient water usage, and faster response to emerging threats through real-time on-device intelligence.",Create an offline edge-AI agricultural diagnostic kit that evaluates crop foliage photos for pests and nutrient deficiencies while offering weather risk advice.,Hardware,0/500,"Agriculture, FoodTech & Rural Development"
181,SIH26181,Qualcomm Inc,"A secure, AI-powered Personal Health Companion that delivers real-time, privacy-preserving health monitoring and early warning capabilities, helping individuals recognize health risks before they become emergencies. The solution should improve resilience during heat waves, floods, pollution events, and other disasters common in India while enabling continuous health support through on-device intelligence.","Design a wearable health monitor with on-device AI that predicts physiological distress from heatwaves, dehydration, and poor air quality without cloud dependency.",Hardware,0/500,MedTech / BioTech / HealthTech
182,SIH26182,Ministry of Home Affairs,Automated Attribution of Unknown Cryptocurrency Wallets to Nearest Virtual Asset Service Providers (VASPs) through Blockchain Intelligence APIs,Develop an automated crypto forensics tool leveraging blockchain intelligence APIs to map anonymous suspect wallet addresses to registered exchange entities.,Software,0/500,Blockchain & Cybersecurity
183,SIH26183,Ministry of Home Affairs,Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics,Build a real-time transaction tracing engine that maps fraudulent cryptocurrency outflows reported by cybercrime victims directly to deposit addresses at exchanges.,Software,0/500,Blockchain & Cybersecurity
184,SIH26184,Ministry of Home Affairs,"Development of a Predictive Analytics Framework for Cybercrime Complaints to Forecast Likely Cash Withdrawal Locations in Advance, Enabling Generation of Actionable Intelligence for Timely and Proactive Cybercrime Intervention.",Implement a predictive machine learning model analyzing national cybercrime portal data to anticipate physical ATM and bank cash-out locations for fraud rings.,Software,0/500,Blockchain & Cybersecurity
185,SIH26185,Ministry of Home Affairs,Helmet mounted conformal antenna for tactical communications in urban CQB environments.,Engineer a low-profile conformal antenna array integrated into tactical ballistic helmets to maintain reliable wireless comms during close-quarters combat.,Hardware,0/500,Robotics and Drones
186,SIH26186,Ministry of Home Affairs,AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces,Create a continuous stress and fatigue monitoring platform evaluating wearable biometric telemetry and voice acoustics to support military and police welfare.,Software,0/500,MedTech / BioTech / HealthTech
187,SIH26187,Ministry of Home Affairs,AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.,"Develop edge-AI computer vision algorithms retrofitted onto border CCTV infrastructure to detect perimeter incursions, tunnel activity, and weapon concealment.",Software,0/500,Blockchain & Cybersecurity
188,SIH26188,Ministry of Home Affairs,Al-Based Fake Identity & Document Screening System,"Build a forensic verification tool that scans government identity cards and official credentials to detect digital tampering, font anomalies, and deepfake photos.",Software,0/500,Blockchain & Cybersecurity
189,SIH26189,Ministry of Home Affairs,AI-Powered Criminal Network Analysis System,"Create an AI-powered link-analysis graph system that ingests call detail records, financial trails, and suspect dossiers to uncover organized crime syndicate hierarchies.",Software,0/500,Blockchain & Cybersecurity
190,SIH26190,Ministry of Home Affairs,Secure Digital Document Management System for Legal and Investigation Documents,"Implement an end-to-end encrypted, tamper-evident digital evidence repository with role-based access control and chain-of-custody logging for legal investigations.",Software,0/500,Blockchain & Cybersecurity
191,SIH26191,Ministry of Home Affairs,"Intelligent Identification of Hazard-Based Red Zones, Carrying Capacity Assessment, and Immediate Relocation Needs for Vulnerable Habitations","Build a spatial risk assessment system evaluating terrain slope, soil stability, and carrying capacity to designate hazard red zones and relocation priorities.",Software,0/500,Disaster Management
192,SIH26192,Ministry of Home Affairs,Flash Flood Prediction System for Hilly Regions using Multi-Source Data Theme,Develop an integrated hydrological early warning framework combining satellite precipitation and river gauge telemetry to predict mountainous flash floods.,Software,0/500,Disaster Management
193,SIH26193,AICTE,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.","Design student-led software solutions focused on smart crop monitoring, post-harvest supply chain tracking, and farm produce processing efficiency in India.",Software,0/500,"Agriculture, FoodTech & Rural Development"
194,SIH26194,AICTE,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,"Develop innovative blockchain solutions leveraging decentralized ledgers and smart contracts to secure public registries, supply chains, and asset ownership.",Software,0/500,Blockchain & Cybersecurity
195,SIH26195,AICTE,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.","Build smart waste segregation, collection route optimization, and sanitation management software to enhance municipal recycling and urban hygiene.",Software,0/500,Clean & Green Technology
196,SIH26196,AICTE,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.,"Create gamified digital wellness applications, workout tracking platforms, and community athletic engagement tools to promote nationwide fitness.",Software,0/500,Fitness & Sports
197,SIH26197,AICTE,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.,"Design interactive multimedia and augmented reality platforms to preserve, document, and showcase traditional Indian art forms, monuments, and folklore.",Software,0/500,Heritage & Culture
198,SIH26198,AICTE,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.","Develop innovative digital health applications spanning preventive wellness, remote patient monitoring, diagnostic triage, and hospital workflow automation.",Software,0/500,MedTech / BioTech / HealthTech
199,SIH26199,AICTE,"Student Innovation-Technology ideas in tertiary sectors like Hospitality, Financial Services, Entertainment and Retail.","Create smart software solutions optimizing commercial operations, customer retention, and service delivery across hospitality, retail, and financial services.",Software,0/500,Miscellaneous
200,SIH26200,AICTE,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently,"Build monitoring dashboards and predictive energy management software to optimize renewable generation, battery storage, and clean power grid distribution.",Software,0/500,Renewable / Sustainable Energy
201,SIH26201,AICTE,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.","Develop autonomous aerial and robotic software systems designed for emergency medical delivery, search-and-rescue navigation, and disaster reconnaissance.",Software,0/500,Robotics and Drones
202,SIH26202,AICTE,Student Innovation-Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,Implement AI-powered data analytics and automation solutions that aggregate disparate operational data sources to extract actionable organizational intelligence.,Software,0/500,Smart Automation
203,SIH26203,AICTE,Student Innovation-Creating intelligent devices to improve commutation sector.,"Design intelligent connected vehicle systems, smart telematics, and commute routing applications to alleviate urban traffic bottlenecks and improve passenger transit.",Software,0/500,Smart Vehicles
